SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Blank_DCPET_BH_R1_T1,61,Blank,DCPET,BH,R1,T1,06082021_0153pm,1373,22.9,0.067,,
Blank_DCPET_BH_R2_T1,62,Blank,DCPET,BH,R2,T1,06082021_0153pm,1373,22.9,0.063,,
Blank_DCPET_BH_R3_T1,63,Blank,DCPET,BH,R3,T1,06082021_0153pm,1373,22.9,0.072,,
Blank_DCPET_ARW_R1_T1,64,Blank,DCPET,ARW,R1,T1,06082021_0153pm,1373,22.9,0.042,,
Blank_DCPET_ARW_R2_T1,65,Blank,DCPET,ARW,R2,T1,06082021_0153pm,1373,22.9,0.041,,
Blank_DCPET_ARW_R3_T1,66,Blank,DCPET,ARW,R3,T1,06082021_0153pm,1373,22.9,0.042,,
Emma2_TPA_BH_R1_T1,67,Emma2,TPA,BH,R1,T1,06082021_0153pm,1373,22.9,0.197,,
Emma2_TPA_BH_R2_T1,68,Emma2,TPA,BH,R2,T1,06082021_0153pm,1373,22.9,0.205,,
Emma2_TPA_BH_R3_T1,69,Emma2,TPA,BH,R3,T1,06082021_0153pm,1373,22.9,0.141,,
Laura1_TPA_BH_R1_T1,70,Laura1,TPA,BH,R1,T1,06082021_0153pm,1373,22.9,0.751,,
Laura1_TPA_BH_R2_T1,71,Laura1,TPA,BH,R2,T1,06082021_0153pm,1373,22.9,0.44,,
Laura1_TPA_BH_R3_T1,72,Laura1,TPA,BH,R3,T1,06082021_0153pm,1373,22.9,0.323,,
Laura2_TPA_BH_R1_T1,73,Laura2,TPA,BH,R1,T1,06082021_0153pm,1373,22.9,0.223,,
Laura2_TPA_BH_R2_T1,74,Laura2,TPA,BH,R2,T1,06082021_0153pm,1373,22.9,0.192,,
Laura2_TPA_BH_R3_T1,75,Laura2,TPA,BH,R3,T1,06082021_0153pm,1373,22.9,0.378,,
Emma2_DCPET_ARW_R1_T2,1,Emma2,DCPET,ARW,R1,T2,06092021_1200pm,2700,45,0.443,,
Emma2_DCPET_ARW_R2_T2,2,Emma2,DCPET,ARW,R2,T2,06092021_1200pm,2700,45,0.471,,
Emma2_DCPET_ARW_R3_T2,3,Emma2,DCPET,ARW,R3,T2,06092021_1200pm,2700,45,0.486,,
Laura1_DCPET_ARW_R1_T2,4,Laura1,DCPET,ARW,R1,T2,06092021_1200pm,2700,45,0.238,,
Laura1_DCPET_ARW_R2_T2,5,Laura1,DCPET,ARW,R2,T2,06092021_1200pm,2700,45,0.839,,
Laura1_DCPET_ARW_R3_T2,6,Laura1,DCPET,ARW,R3,T2,06092021_1200pm,2700,45,0.609,,
Laura2_DCPET_ARW_R1_T2,7,Laura2,DCPET,ARW,R1,T2,06092021_1200pm,2700,45,0.504,,
Laura2_DCPET_ARW_R2_T2,8,Laura2,DCPET,ARW,R2,T2,06092021_1200pm,2700,45,0.553,,
Laura2_DCPET_ARW_R3_T2,9,Laura2,DCPET,ARW,R3,T2,06092021_1200pm,2700,45,0.41,,
Emma2_Blank_ARW_R1_T2,10,Emma2,Blank,ARW,R1,T2,06092021_1200pm,2700,45,0.045,,
Emma2_Blank_ARW_R2_T2,11,Emma2,Blank,ARW,R2,T2,06092021_1200pm,2700,45,0.117,,
Emma2_Blank_ARW_R3_T2,12,Emma2,Blank,ARW,R3,T2,06092021_1200pm,2700,45,0.115,,
Laura1_Blank_ARW_R1_T2,13,Laura1,Blank,ARW,R1,T2,06092021_1200pm,2700,45,0.124,,
Laura1_Blank_ARW_R2_T2,14,Laura1,Blank,ARW,R2,T2,06092021_1200pm,2700,45,0.156,,
Laura1_Blank_ARW_R3_T2,15,Laura1,Blank,ARW,R3,T2,06092021_1200pm,2700,45,0.154,,
Laura2_Blank_ARW_R1_T2,16,Laura2,Blank,ARW,R1,T2,06092021_1200pm,2700,45,0.132,,
Laura2_Blank_ARW_R2_T2,17,Laura2,Blank,ARW,R2,T2,06092021_1200pm,2700,45,0.159,,
Laura2_Blank_ARW_R3_T2,18,Laura2,Blank,ARW,R3,T2,06092021_1200pm,2700,45,0.223,,
Emma2_DCPET_BH_R1_T2,19,Emma2,DCPET,BH,R1,T2,06092021_1200pm,2700,45,0.83,,
Emma2_DCPET_BH_R2_T2,20,Emma2,DCPET,BH,R2,T2,06092021_1200pm,2700,45,0.988,,
Emma2_DCPET_BH_R3_T2,21,Emma2,DCPET,BH,R3,T2,06092021_1200pm,2700,45,1.245,,
Laura1_DCPET_BH_R1_T2,22,Laura1,DCPET,BH,R1,T2,06092021_1200pm,2700,45,1.013,,
Laura1_DCPET_BH_R2_T2,23,Laura1,DCPET,BH,R2,T2,06092021_1200pm,2700,45,0.557,,
Laura1_DCPET_BH_R3_T2,24,Laura1,DCPET,BH,R3,T2,06092021_1200pm,2700,45,0.888,,
